experiment,network,storageMode,batchSize,sendIntervalSeconds,measurementIndex,txType,isInitializationTx,txHash,blockNumber,status,gasUsed,effectiveGasPriceWei,feeWei,feeEth,requestBodyBytes,calldataBytes,txSubmitLatencyMs,confirmationLatencyMs,middlewareTotalLatencyMs,deviceToBlockLatencySeconds,logsCount,notes
batch-vs-single,sepolia,array,1,10,1,recordSingle,false,0x5e590a123a1ce72031dca46d1746763b4859a0bd178250fc43d03359c9fa4118,11209335,1,157340,1131639868,178052216831120,0.00017805221683112,,292,,,,2,1,
batch-vs-single,sepolia,array,1,10,2,recordSingle,false,0x2e9b1da5b31c088da5652bb57763218e106bd38996a9d59334192cce2e7f5361,11209336,1,157340,1069778722,168318984119480,0.00016831898411948,,292,,,,4,1,
batch-vs-single,sepolia,array,1,10,3,recordSingle,false,0x3f537c5769c933ae702e290245ac696daf8158b297f78ae566576ff29145ce67,11209337,1,157340,1020929593,160633062162620,0.00016063306216262,,292,,,,6,1,
batch-vs-single,sepolia,array,1,10,4,recordSingle,false,0xc16900751c8111a286029a51b25819e71459ed2ff0052a4be29e38fe348f0187,11209356,1,157340,1118667713,176011177963420,0.00017601117796342,,292,,,,15,1,
batch-vs-single,sepolia,array,1,10,5,recordSingle,false,0x5db206d676d2d9efe382f9e184b69fe632dca97fc14779214564f1c716d1c34a,11209356,1,157340,1118667713,176011177963420,0.00017601117796342,,292,,,,5,1,
batch-vs-single,sepolia,array,1,10,6,recordSingle,false,0xf9a02c3c80ad85db33a8623c2bce43a287d7c94ca7889b7c309db0ba27178ebb,11209357,1,157316,1072132856,168663652374496,0.000168663652374496,,292,,,,,1,deviceTimestamp non disponibile nei log ESP32 per calcolare deviceToBlockLatencySeconds
batch-vs-single,sepolia,array,1,10,7,recordSingle,false,0xb723261354fea21f421c9deb0efebb98bde833d775e4075ff861aee8750baa3a,11209358,1,157328,1046813442,164693065202976,0.000164693065202976,,292,,,,,1,deviceTimestamp non disponibile nei log ESP32 per calcolare deviceToBlockLatencySeconds
batch-vs-single,sepolia,batch,5,10,1,recordBatch,false,0x0f9156a23fb5f42e5a1c87ed4539425792ea444148558bc87aa4c58235b58035,11209475,1,651015,1108237177,721479025784655,0.000721479025784655,,1572,,,,,5,deviceTimestamp non disponibile nei log ESP32 per calcolare deviceToBlockLatencySeconds
batch-vs-single,sepolia,batch,5,10,2,recordBatch,false,0x56dc1bf59e92eb2830aee5a6fdb7e535f2d2e0e83b944aa80da7b7682be5724d,11209479,1,651015,1020204844,664168656516660,0.00066416865651666,,1572,,,,9,5,
batch-vs-single,sepolia,batch,5,10,3,recordBatch,false,0xd4aab83a490efef276e527d2c19939909c35cac03a82e0d052cf5b2424545617,11209483,1,651027,1120781599,729659082052173,0.000729659082052173,,1572,,,,19,5,
